task_id,trajectory_path,stop_reason,reason
102,trajectories\oracle_external\102.json,crash,pipeline_anomaly
13,trajectories\oracle_external\13.json,crash,pipeline_anomaly
340,trajectories\oracle_external\340.json,crash,pipeline_anomaly
358,trajectories\oracle_external\358.json,crash,pipeline_anomaly
359,trajectories\oracle_external\359.json,crash,pipeline_anomaly
360,trajectories\oracle_external\360.json,crash,pipeline_anomaly
361,trajectories\oracle_external\361.json,crash,pipeline_anomaly
362,trajectories\oracle_external\362.json,crash,pipeline_anomaly
368,trajectories\oracle_external\368.json,crash,pipeline_anomaly
376,trajectories\oracle_external\376.json,crash,pipeline_anomaly
384,trajectories\oracle_external\384.json,crash,pipeline_anomaly
385,trajectories\oracle_external\385.json,crash,pipeline_anomaly
386,trajectories\oracle_external\386.json,crash,pipeline_anomaly
387,trajectories\oracle_external\387.json,crash,pipeline_anomaly
388,trajectories\oracle_external\388.json,crash,pipeline_anomaly
389,trajectories\oracle_external\389.json,crash,pipeline_anomaly
390,trajectories\oracle_external\390.json,crash,pipeline_anomaly
391,trajectories\oracle_external\391.json,crash,pipeline_anomaly
392,trajectories\oracle_external\392.json,crash,pipeline_anomaly
393,trajectories\oracle_external\393.json,crash,pipeline_anomaly
450,trajectories\oracle_external\450.json,crash,pipeline_anomaly
