task_id,trajectory_path,stop_reason,reason
289,trajectories\data\289.json,crash,pipeline_anomaly
324,trajectories\data\324.json,crash,pipeline_anomaly
340,trajectories\data\340.json,crash,pipeline_anomaly
342,trajectories\data\342.json,parse_failures,pipeline_anomaly
412,trajectories\data\412.json,parse_failures,pipeline_anomaly
524,trajectories\data\524.json,crash,pipeline_anomaly
535,trajectories\data\535.json,crash,pipeline_anomaly
536,trajectories\data\536.json,crash,pipeline_anomaly
537,trajectories\data\537.json,crash,pipeline_anomaly
538,trajectories\data\538.json,crash,pipeline_anomaly
539,trajectories\data\539.json,crash,pipeline_anomaly
540,trajectories\data\540.json,crash,pipeline_anomaly
541,trajectories\data\541.json,crash,pipeline_anomaly
543,trajectories\data\543.json,crash,pipeline_anomaly
544,trajectories\data\544.json,crash,pipeline_anomaly
546,trajectories\data\546.json,crash,pipeline_anomaly
547,trajectories\data\547.json,crash,pipeline_anomaly
548,trajectories\data\548.json,crash,pipeline_anomaly
550,trajectories\data\550.json,crash,pipeline_anomaly
551,trajectories\data\551.json,crash,pipeline_anomaly
552,trajectories\data\552.json,crash,pipeline_anomaly
553,trajectories\data\553.json,crash,pipeline_anomaly
554,trajectories\data\554.json,crash,pipeline_anomaly
555,trajectories\data\555.json,crash,pipeline_anomaly
562,trajectories\data\562.json,crash,pipeline_anomaly
563,trajectories\data\563.json,crash,pipeline_anomaly
564,trajectories\data\564.json,crash,pipeline_anomaly
566,trajectories\data\566.json,crash,pipeline_anomaly
567,trajectories\data\567.json,crash,pipeline_anomaly
568,trajectories\data\568.json,crash,pipeline_anomaly
569,trajectories\data\569.json,crash,pipeline_anomaly
570,trajectories\data\570.json,crash,pipeline_anomaly
571,trajectories\data\571.json,crash,pipeline_anomaly
576,trajectories\data\576.json,crash,pipeline_anomaly
577,trajectories\data\577.json,crash,pipeline_anomaly
578,trajectories\data\578.json,crash,pipeline_anomaly
579,trajectories\data\579.json,crash,pipeline_anomaly
581,trajectories\data\581.json,parse_failures,pipeline_anomaly
583,trajectories\data\583.json,parse_failures,pipeline_anomaly
584,trajectories\data\584.json,crash,pipeline_anomaly
585,trajectories\data\585.json,crash,pipeline_anomaly
586,trajectories\data\586.json,crash,pipeline_anomaly
588,trajectories\data\588.json,crash,pipeline_anomaly
589,trajectories\data\589.json,crash,pipeline_anomaly
595,trajectories\data\595.json,crash,pipeline_anomaly
596,trajectories\data\596.json,crash,pipeline_anomaly
597,trajectories\data\597.json,crash,pipeline_anomaly
599,trajectories\data\599.json,crash,pipeline_anomaly
615,trajectories\data\615.json,parse_failures,pipeline_anomaly
619,trajectories\data\619.json,crash,pipeline_anomaly
620,trajectories\data\620.json,crash,pipeline_anomaly
622,trajectories\data\622.json,crash,pipeline_anomaly
623,trajectories\data\623.json,crash,pipeline_anomaly
624,trajectories\data\624.json,crash,pipeline_anomaly
630,trajectories\data\630.json,crash,pipeline_anomaly
631,trajectories\data\631.json,crash,pipeline_anomaly
632,trajectories\data\632.json,crash,pipeline_anomaly
633,trajectories\data\633.json,crash,pipeline_anomaly
640,trajectories\data\640.json,crash,pipeline_anomaly
641,trajectories\data\641.json,crash,pipeline_anomaly
642,trajectories\data\642.json,crash,pipeline_anomaly
644,trajectories\data\644.json,crash,pipeline_anomaly
645,trajectories\data\645.json,crash,pipeline_anomaly
647,trajectories\data\647.json,crash,pipeline_anomaly
648,trajectories\data\648.json,crash,pipeline_anomaly
649,trajectories\data\649.json,crash,pipeline_anomaly
650,trajectories\data\650.json,crash,pipeline_anomaly
651,trajectories\data\651.json,crash,pipeline_anomaly
652,trajectories\data\652.json,crash,pipeline_anomaly
657,trajectories\data\657.json,crash,pipeline_anomaly
662,trajectories\data\662.json,crash,pipeline_anomaly
663,trajectories\data\663.json,crash,pipeline_anomaly
664,trajectories\data\664.json,crash,pipeline_anomaly
665,trajectories\data\665.json,crash,pipeline_anomaly
668,trajectories\data\668.json,crash,pipeline_anomaly
669,trajectories\data\669.json,crash,pipeline_anomaly
670,trajectories\data\670.json,crash,pipeline_anomaly
671,trajectories\data\671.json,crash,pipeline_anomaly
676,trajectories\data\676.json,crash,pipeline_anomaly
677,trajectories\data\677.json,crash,pipeline_anomaly
678,trajectories\data\678.json,crash,pipeline_anomaly
680,trajectories\data\680.json,crash,pipeline_anomaly
689,trajectories\data\689.json,crash,pipeline_anomaly
690,trajectories\data\690.json,crash,pipeline_anomaly
691,trajectories\data\691.json,crash,pipeline_anomaly
693,trajectories\data\693.json,crash,pipeline_anomaly
698,trajectories\data\698.json,crash,pipeline_anomaly
700,trajectories\data\700.json,crash,pipeline_anomaly
701,trajectories\data\701.json,crash,pipeline_anomaly
702,trajectories\data\702.json,crash,pipeline_anomaly
703,trajectories\data\703.json,crash,pipeline_anomaly
704,trajectories\data\704.json,crash,pipeline_anomaly
705,trajectories\data\705.json,crash,pipeline_anomaly
707,trajectories\data\707.json,crash,pipeline_anomaly
708,trajectories\data\708.json,crash,pipeline_anomaly
709,trajectories\data\709.json,crash,pipeline_anomaly
710,trajectories\data\710.json,crash,pipeline_anomaly
711,trajectories\data\711.json,crash,pipeline_anomaly
713,trajectories\data\713.json,crash,pipeline_anomaly
715,trajectories\data\715.json,crash,pipeline_anomaly
716,trajectories\data\716.json,crash,pipeline_anomaly
717,trajectories\data\717.json,crash,pipeline_anomaly
718,trajectories\data\718.json,crash,pipeline_anomaly
719,trajectories\data\719.json,crash,pipeline_anomaly
720,trajectories\data\720.json,crash,pipeline_anomaly
721,trajectories\data\721.json,crash,pipeline_anomaly
724,trajectories\data\724.json,crash,pipeline_anomaly
725,trajectories\data\725.json,crash,pipeline_anomaly
727,trajectories\data\727.json,crash,pipeline_anomaly
728,trajectories\data\728.json,crash,pipeline_anomaly
730,trajectories\data\730.json,crash,pipeline_anomaly
731,trajectories\data\731.json,crash,pipeline_anomaly
732,trajectories\data\732.json,crash,pipeline_anomaly
733,trajectories\data\733.json,crash,pipeline_anomaly
734,trajectories\data\734.json,crash,pipeline_anomaly
736,trajectories\data\736.json,crash,pipeline_anomaly
742,trajectories\data\742.json,crash,pipeline_anomaly
743,trajectories\data\743.json,crash,pipeline_anomaly
745,trajectories\data\745.json,crash,pipeline_anomaly
746,trajectories\data\746.json,crash,pipeline_anomaly
747,trajectories\data\747.json,crash,pipeline_anomaly
748,trajectories\data\748.json,crash,pipeline_anomaly
749,trajectories\data\749.json,crash,pipeline_anomaly
751,trajectories\data\751.json,crash,pipeline_anomaly
