Found 97 annotation entries (mode=primary)
SKIP 102 oracle already done
SKIP 102 envonly already done
SKIP 114 oracle already done
SKIP 114 envonly already done
SKIP 12 oracle already done
SKIP 12 envonly already done
SKIP 13 oracle already done
SKIP 13 envonly already done
SKIP 142 oracle already done
SKIP 142 envonly already done
SKIP 159 oracle already done
SKIP 159 envonly already done
SKIP 239 oracle already done
SKIP 239 envonly already done
SKIP 241 oracle already done
SKIP 241 envonly already done
SKIP 27 oracle already done
SKIP 27 envonly already done
SKIP 270 oracle already done
SKIP 270 envonly already done
SKIP 273 oracle already done
SKIP 273 envonly already done
SKIP 277 oracle already done
SKIP 277 envonly already done
SKIP 28 oracle already done
SKIP 28 envonly already done
SKIP 285 oracle already done
SKIP 285 envonly already done
SKIP 309 oracle already done
SKIP 309 envonly already done
SKIP 312 oracle already done
SKIP 312 envonly already done
SKIP 351 oracle already done
SKIP 351 envonly already done
SKIP 352 oracle already done
SKIP 352 envonly already done
SKIP 375 oracle already done
Running 375 t*=6 ENV ONLY
  => env_only t*=6 stop=max_steps | steps=55 | success=False
  => success=False stop=max_steps
SKIP 390 oracle already done
SKIP 390 envonly already done
SKIP 393 oracle already done
SKIP 393 envonly already done
SKIP 399 oracle already done
SKIP 399 envonly already done
SKIP 411 oracle already done
SKIP 411 envonly already done
SKIP 412 oracle already done
SKIP 412 envonly already done
SKIP 432 oracle already done
SKIP 432 envonly already done
SKIP 434 oracle already done
SKIP 434 envonly already done
SKIP 442 oracle already done
SKIP 442 envonly already done
SKIP 451 oracle already done
SKIP 451 envonly already done
SKIP 454 oracle already done
SKIP 454 envonly already done
SKIP 460 oracle already done
Running 460 t*=1 ENV ONLY
  => env_only t*=1 stop=crash | steps=12 | success=None
  => success=None stop=crash
SKIP 471 oracle already done
Running 471 t*=4 ENV ONLY
  => env_only t*=4 stop=max_steps | steps=53 | success=False
  => success=False stop=max_steps
Running 473 t*=4 FULL ORACLE
  => oracle_intervention t*=4 stop=agent_stop | steps=7 | success=False
  => success=False stop=agent_stop
SKIP 473 envonly already done
SKIP 484 oracle already done
SKIP 484 envonly already done
SKIP 486 oracle already done
SKIP 486 envonly already done
SKIP 49 oracle already done
SKIP 49 envonly already done
SKIP 494 oracle already done
SKIP 494 envonly already done
SKIP 496 oracle already done
SKIP 496 envonly already done
SKIP 502 oracle already done
SKIP 502 envonly already done
SKIP 522 oracle already done
SKIP 522 envonly already done
SKIP 528 oracle already done
SKIP 528 envonly already done
Running 575 t*=7 FULL ORACLE
  => oracle_intervention t*=7 stop=max_steps | steps=56 | success=False
  => success=False stop=max_steps
SKIP 575 envonly already done
Running 594 t*=8 FULL ORACLE
  => oracle_intervention t*=8 stop=max_steps | steps=57 | success=False
  => success=False stop=max_steps
SKIP 594 envonly already done
SKIP 615 oracle already done
SKIP 615 envonly already done
SKIP 653 oracle already done
SKIP 653 envonly already done
SKIP 654 oracle already done
SKIP 654 envonly already done
SKIP 655 oracle already done
SKIP 655 envonly already done
SKIP 682 oracle already done
SKIP 682 envonly already done
SKIP 688 oracle already done
SKIP 688 envonly already done
SKIP 446 oracle already done
SKIP 446 envonly already done
SKIP 489 oracle already done
SKIP 489 envonly already done
SKIP 672 oracle already done
SKIP 672 envonly already done
SKIP 675 oracle already done
SKIP 675 envonly already done
SKIP 104 oracle already done
SKIP 104 envonly already done
SKIP 181 oracle already done
SKIP 181 envonly already done
SKIP 280 oracle already done
SKIP 280 envonly already done
SKIP 317 oracle already done
SKIP 317 envonly already done
SKIP 328 oracle already done
SKIP 328 envonly already done
SKIP 354 oracle already done
SKIP 354 envonly already done
SKIP 388 oracle already done
SKIP 388 envonly already done
SKIP 391 oracle already done
SKIP 391 envonly already done
SKIP 400 oracle already done
SKIP 400 envonly already done
SKIP 413 oracle already done
SKIP 413 envonly already done
SKIP 420 oracle already done
SKIP 420 envonly already done
SKIP 422 oracle already done
SKIP 422 envonly already done
SKIP 433 oracle already done
SKIP 433 envonly already done
SKIP 437 oracle already done
SKIP 437 envonly already done
SKIP 441 oracle already done
SKIP 441 envonly already done
SKIP 443 oracle already done
SKIP 443 envonly already done
SKIP 444 oracle already done
SKIP 444 envonly already done
SKIP 447 oracle already done
SKIP 447 envonly already done
SKIP 458 oracle already done
SKIP 458 envonly already done
SKIP 461 oracle already done
SKIP 461 envonly already done
SKIP 472 oracle already done
SKIP 472 envonly already done
Running 481 t*=4 FULL ORACLE
  => oracle_intervention t*=4 stop=max_steps | steps=53 | success=False
  => success=False stop=max_steps
SKIP 481 envonly already done
SKIP 482 oracle already done
SKIP 482 envonly already done
SKIP 483 oracle already done
SKIP 483 envonly already done
SKIP 487 oracle already done
SKIP 487 envonly already done
SKIP 488 oracle already done
Running 488 t*=6 ENV ONLY
  => env_only t*=6 stop=crash | steps=23 | success=None
  => success=None stop=crash
SKIP 492 oracle already done
SKIP 492 envonly already done
SKIP 507 oracle already done
SKIP 507 envonly already done
SKIP 509 oracle already done
SKIP 509 envonly already done
SKIP 573 oracle already done
SKIP 573 envonly already done
SKIP 602 oracle already done
SKIP 602 envonly already done
SKIP 660 oracle already done
SKIP 660 envonly already done
SKIP 103 oracle already done
SKIP 103 envonly already done
SKIP 162 oracle already done
SKIP 162 envonly already done
SKIP 169 oracle already done
SKIP 169 envonly already done
SKIP 171 oracle already done
SKIP 171 envonly already done
SKIP 178 oracle already done
SKIP 178 envonly already done
SKIP 311 oracle already done
SKIP 311 envonly already done
SKIP 508 oracle already done
SKIP 508 envonly already done
SKIP 530 oracle already done
SKIP 530 envonly already done
SKIP 532 oracle already done
SKIP 532 envonly already done
Running 534 t*=9 FULL ORACLE
  => oracle_intervention t*=9 stop=repeating_action | steps=27 | success=False
  => success=False stop=repeating_action
SKIP 534 envonly already done
SKIP 656 oracle already done
SKIP 656 envonly already done
SKIP 667 oracle already done
Running 667 t*=8 ENV ONLY
  => env_only t*=8 stop=repeating_action | steps=32 | success=False
  => success=False stop=repeating_action
Running 681 t*=74 FULL ORACLE
  => oracle_intervention t*=74 stop=agent_stop | steps=80 | success=False
  => success=False stop=agent_stop
Running 681 t*=74 ENV ONLY
  => env_only t*=74 stop=agent_stop | steps=80 | success=False
  => success=False stop=agent_stop
Done. New/rerun result files: 12; reported new cost: $1.2501
